Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
623,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33.0,1992,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,338,576,58.7,10482,8452,0,0.0,0.1,0.0,1,17,3,0,2,394,181,67,0,2,0,0,0,0,0,0,338,3,2,3,0,0,3,100.0,0,0,0,0,0,3,11,0,1,0.05,1,0,0,0,0,0,0,0.00,624,518,614,11,0,0,624,1,0,0.0,0,0.0,326,1640,1003,0,0,0,1,0,250,0,0,0,0,0,1,0,0,0,2,0,0,0,33,4,0,100.0,20,1.05,79,60,75.9,10,4,5,7,36.8,1,1,0,0,19.4,0.25,+0.4,+0.02,102,326,31.3,461,68,54.7,42.0,275,22,8.0,15,0.79,13.0
624,Ritsu Doan,jp JPN,"FW,MF",Eint Frankfurt,de Bundesliga,27.0,1998,16,16,1318,14.6,4,4,8,4,0,0,1,0,2.4,2.4,3.1,5.5,0.55,0.38,26,59,112,26,8,30.8,1.78,0.55,0.15,0.50,17.7,1,0,0,2.4,2.4,0.09,+1.6,+1.6,413,578,71.5,6050,1956,4,3.1,3.2,+0.9,21,31,23,6,59,524,54,10,4,2,61,10,34,24,2,0,413,26,14,11,10,5,26,53.8,12,18,0,18,10,36,11,0,45,3.07,23,9,4,3,4,2,10,0.68,756,4,85,306,374,47,756,45,22,48.9,21,46.7,436,1905,886,26,18,14,39,28,530,112,1,0,0,10,18,1,61,10,14,0,0,0,45,16,20,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Dodô,br BRA,DF,Fiorentina,it Serie A,27.0,1998,20,20,1707,19.0,0,1,1,0,0,0,3,0,1.2,1.2,2.1,3.3,0.05,0.17,86,66,103,17,1,5.9,0.90,0.05,0.00,0.00,19.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2,667,886,75.3,11938,3666,1,2.1,2.1,-1.1,29,51,25,17,66,744,139,14,1,4,91,125,0,0,0,0,667,17,11,9,5,3,20,55.0,9,14,0,14,15,32,31,0,63,3.32,47,3,7,2,4,0,5,0.26,1063,51,255,448,380,45,1063,59,24,40.7,25,42.4,584,4325,2666,86,49,20,30,9,656,103,3,0,0,8,32,1,91,15,11,0,0,0,85,10,9,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27.0,1998,16,16,1440,16.0,4,0,4,4,0,0,3,0,2.7,2.7,0.5,3.2,0.25,0.20,7,38,8,25,4,16.0,1.56,0.25,0.16,1.00,9.7,0,0,0,2.7,2.7,0.11,+1.3,+1.3,420,549,76.5,7508,2915,0,0.5,0.8,-0.5,5,31,3,0,38,541,7,7,0,3,4,0,0,0,0,0,420,31,22,19,10,2,23,60.9,9,19,11,8,20,51,90,1,20,1.25,13,0,0,4,0,3,5,0.31,773,81,341,351,85,48,773,2,1,50.0,1,50.0,389,1612,855,7,1,0,13,1,438,8,3,0,0,10,9,0,4,20,22,0,0,0,43,77,35,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33.0,1992,8,8,598,6.6,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,0.00,0.07,3,21,6,3,0,0.0,0.45,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,199,248,80.2,3703,1306,0,0.4,0.2,-0.4,3,15,2,1,21,223,21,6,0,2,5,15,0,0,0,0,199,13,7,9,4,0,16,50.0,8,8,5,3,4,17,26,0,8,1.20,6,0,0,0,1,1,0,0.00,313,38,132,135,48,4,313,2,1,50.0,0,0.0,145,585,301,3,4,1,3,3,176,6,4,0,0,14,5,0,5,4,7,1,0,0,23,16,7,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23.0,2002,19,15,1347,15.0,0,0,0,0,0,0,4,0,0.4,0.4,1.0,1.4,0.00,0.09,29,52,48,6,2,33.3,0.40,0.13,0.00,0.00,21.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,514,658,78.1,8129,3027,0,1.0,0.7,-1.0,10,33,11,8,52,518,137,12,1,1,25,124,1,0,0,0,514,23,15,11,6,6,23,73.9,6,26,11,15,20,43,49,2,22,1.47,17,4,1,0,0,0,1,0.07,843,47,278,349,220,14,843,25,8,32.0,16,64.0,356,2160,1152,29,18,3,24,8,438,48,4,0,0,13,13,0,25,20,15,0,1,0,42,26,20,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23.0,2002,18,12,1089,12.1,1,4,5,1,0,0,0,0,1.7,1.7,6.4,8.1,0.41,0.67,123,56,130,19,8,42.1,1.57,0.66,0.05,0.13,14.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,380,480,79.2,5557,1498,4,6.4,4.4,-2.4,39,26,37,8,56,475,5,1,13,0,37,4,0,0,0,0,380,13,10,4,3,6,9,44.4,5,4,0,4,9,22,0,0,89,7.36,60,0,18,5,2,4,10,0.83,666,2,53,216,411,98,666,109,59,54.1,40,36.7,517,4661,2958,123,51,62,53,35,546,130,0,0,0,15,30,3,37,9,10,2,0,0,51,2,6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Tyrhys Dolan,eng ENG,"FW,MF",Espanyol,es La Liga,24.0,2001,18,15,1315,14.6,0,3,3,0,0,0,3,1,1.4,1.4,2.7,4.1,0.21,0.28,58,35,105,20,6,30.0,1.37,0.41,0.00,0.00,18.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,279,380,73.4,4080,1094,3,2.7,2.4,+0.3,19,22,19,10,35,365,12,4,1,0,60,0,7,0,6,0,279,36,24,14,14,8,24,58.3,10,15,0,15,6,42,9,0,49,3.35,31,2,6,2,8,0,7,0.48,589,7,76,234,295,48,589,54,17,31.5,31,57.4,352,2579,1306,58,35,13,46,22,380,105,3,1,1,23,27,3,60,6,24,2,0,0,60,7,17,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,20.0,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.42,0.21,1,4,17,3,0,0.0,1.26,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,20,41,48.8,260,83,1,0.4,0.2,+0.6,2,0,3,1,4,39,0,0,0,0,7,0,0,0,0,0,20,3,2,1,2,0,1,100.0,0,3,0,3,0,3,6,0,4,1.68,2,0,0,0,2,0,1,0.42,74,4,21,20,34,7,74,4,1,25.0,3,75.0,44,231,57,1,3,0,7,2,46,17,0,0,0,3,3,0,7,0,2,0,0,0,9,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,22.0,2003,8,3,272,3.0,0,1,1,0,0,0,1,0,0.5,0.5,0.1,0.5,0.33,0.18,4,4,22,6,1,16.7,1.99,0.33,0.00,0.00,18.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,49,65,75.4,766,62,1,0.1,0.1,+0.9,2,3,0,0,4,64,1,1,1,1,5,0,0,0,0,0,49,5,1,3,1,1,4,25.0,3,6,0,6,2,7,0,0,6,1.99,4,0,0,0,2,0,1,0.33,123,1,10,44,73,11,123,12,3,25.0,8,66.7,71,481,157,4,5,1,18,7,78,22,1,0,0,4,7,3,5,2,1,0,0,0,14,2,7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24.0,2001,6,4,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.00,0.02,2,10,0,1,0,0.0,0.21,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.04,0.0,0.0,292,320,91.3,5140,1931,0,0.1,0.0,-0.1,1,14,0,0,10,314,6,6,0,1,0,0,0,0,0,0,292,11,8,8,2,1,7,85.7,1,9,4,5,3,14,32,0,6,1.24,5,0,0,0,0,1,1,0.21,386,45,195,186,6,1,386,2,0,0.0,2,100.0,201,905,514,2,1,0,2,1,271,0,1,0,0,6,1,0,0,3,8,0,1,0,21,11,3,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,27.0,1998,12,8,568,6.3,1,0,1,1,0,0,2,0,0.7,0.7,0.4,1.1,0.16,0.17,4,34,15,10,2,20.0,1.58,0.32,0.10,0.50,19.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,217,253,85.8,3742,1280,0,0.4,0.4,-0.4,8,31,9,2,34,234,19,9,1,0,10,1,4,0,3,0,217,23,11,14,7,2,19,63.2,7,6,0,6,3,26,8,1,17,2.70,12,2,1,1,0,1,1,0.16,315,15,72,155,91,6,315,6,3,50.0,3,50.0,142,720,363,4,9,1,1,3,182,15,2,0,0,8,3,0,10,3,11,0,0,0,25,6,10,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Jean-Luc Dompé,fr FRA,"FW,MF",Hamburger SV,de Bundesliga,30.0,1995,12,10,876,9.7,2,0,2,2,0,0,0,0,1.1,1.1,2.8,3.9,0.21,0.40,42,30,103,19,9,47.4,1.95,0.92,0.11,0.22,19.3,2,0,0,1.1,1.1,0.06,+0.9,+0.9,199,296,67.2,3276,1158,0,2.8,3.0,-2.8,26,11,27,13,30,266,30,3,5,1,71,8,19,14,3,0,199,4,3,1,2,1,4,50.0,2,4,0,4,0,4,0,0,46,4.73,38,2,3,3,0,0,1,0.10,366,0,30,115,225,35,366,28,18,64.3,10,35.7,242,1597,1032,42,16,19,17,6,281,103,0,0,0,2,8,3,71,0,3,0,0,0,17,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,John Donald,es ESP,"DF,MF",Elche,es La Liga,25.0,2000,11,3,303,3.4,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,0.30,0.10,2,9,6,4,2,50.0,1.19,0.59,0.25,0.50,14.3,0,0,0,0.4,0.4,0.09,+0.6,+0.6,130,148,87.8,1967,484,0,0.0,0.1,0.0,0,9,0,0,9,137,11,2,0,1,0,9,0,0,0,0,130,8,6,4,4,0,3,100.0,0,3,1,2,2,10,8,0,2,0.59,1,0,0,0,1,0,0,0.00,192,11,47,107,39,5,192,5,2,40.0,3,60.0,78,301,134,2,2,0,12,3,108,6,1,0,0,9,4,0,0,2,6,0,0,0,16,4,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26.0,1999,18,18,1620,18.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,414,514,80.5,9904,6219,0,0.0,0.0,0.0,0,6,0,0,0,435,79,31,0,0,0,0,0,0,0,0,414,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,3,1,0.06,1,0,0,0,0,0,0,0.00,551,455,544,7,0,0,551,2,2,100.0,0,0.0,377,1589,793,0,0,0,0,0,322,0,5,0,0,0,3,0,0,0,0,0,0,0,28,9,0,100.0,15,0.83,51,35,70.6,12,4,2,8,44.4,1,0,1,0,16.6,0.32,+1.6,+0.09,44,126,34.9,466,55,21.9,28.0,193,7,3.6,13,0.72,12.7
638,Patrick Dorgu,dk DEN,"DF,FW",Manchester Utd,eng Premier League,21.0,2004,20,12,1165,12.9,1,3,4,1,0,0,5,0,1.2,1.2,2.5,3.7,0.31,0.29,45,25,114,17,4,23.5,1.31,0.31,0.06,0.25,17.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2,384,537,71.5,5613,1374,3,2.5,1.4,+0.5,23,13,22,12,25,469,68,2,1,3,53,66,0,0,0,0,384,41,27,20,13,8,36,66.7,12,20,3,17,13,54,36,0,45,3.48,37,0,2,3,2,1,4,0.31,764,34,182,271,323,52,764,40,9,22.5,24,60.0,390,2126,1121,45,19,15,35,17,469,114,5,0,0,16,38,6,53,13,27,0,0,0,57,36,32,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27.0,1998,15,12,989,11.0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,0.00,0.09,8,53,19,11,2,18.2,1.00,0.18,0.00,0.00,23.8,1,0,0,0.4,0.4,0.03,-0.4,-0.4,392,447,87.7,7766,2084,0,0.6,0.7,-0.6,10,40,6,2,53,411,34,24,0,10,8,1,5,0,1,1,392,23,10,10,9,4,18,50.0,9,10,2,8,9,32,14,3,31,2.82,22,3,0,2,3,1,1,0.09,552,24,134,324,103,5,552,14,8,57.1,6,42.9,289,1637,816,8,13,0,15,7,323,19,0,0,0,13,10,0,8,9,10,0,0,0,66,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23.0,2002,5,1,121,1.3,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,0.74,0.27,2,13,1,2,1,50.0,1.49,0.74,0.50,1.00,14.4,0,0,0,0.3,0.3,0.15,+0.7,+0.7,51,57,89.5,922,166,0,0.1,0.1,-0.1,3,5,2,0,13,56,0,0,0,1,0,0,0,0,0,0,51,1,0,1,0,0,2,50.0,1,1,1,0,0,1,3,2,5,3.72,5,0,0,0,0,0,0,0.00,67,3,19,32,16,2,67,3,2,66.7,1,33.3,32,204,116,2,1,1,1,2,55,1,2,0,0,4,1,0,0,0,0,0,0,0,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24.0,2001,15,7,665,7.4,2,1,3,2,0,0,0,0,1.3,1.3,2.2,3.6,0.41,0.48,14,28,57,13,5,38.5,1.76,0.68,0.15,0.40,17.7,0,0,0,1.3,1.3,0.10,+0.7,+0.7,219,306,71.6,3600,1217,1,2.2,1.5,-1.2,13,13,13,7,28,278,25,2,0,0,49,20,3,3,0,0,219,21,13,8,7,6,13,61.5,5,13,1,12,4,25,12,0,30,4.07,25,1,0,4,0,0,2,0.27,398,12,71,148,180,24,398,10,3,30.0,7,70.0,186,939,463,14,13,2,14,6,232,57,0,0,0,6,3,2,49,4,13,0,0,0,31,5,7,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20.0,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,26,30,86.7,425,199,0,0.0,0.0,0.0,0,0,0,0,1,28,2,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,0,1,1,0,3,3,5,1,0,0.00,0,0,0,0,0,0,0,0.00,37,8,29,8,0,0,37,0,0,,0,,23,93,20,0,0,0,0,0,24,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20.0,2005,8,5,425,4.7,3,1,4,3,0,0,0,0,2.2,2.2,1.4,3.6,0.85,0.76,28,23,57,15,6,40.0,3.18,1.27,0.20,0.50,20.1,2,0,0,2.2,2.2,0.15,+0.8,+0.8,240,296,81.1,3578,630,1,1.4,1.0,-0.4,13,8,8,3,23,274,21,0,2,4,21,7,8,2,1,0,240,15,9,0,8,7,8,62.5,3,7,1,6,3,18,1,1,22,4.66,14,1,0,1,6,0,3,0.64,384,3,25,125,239,37,384,31,8,25.8,21,67.7,244,1572,686,28,13,18,10,14,305,57,0,0,0,8,11,0,21,3,9,2,0,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,23.0,2002,12,11,996,11.1,1,3,4,1,0,0,2,0,1.0,1.0,1.4,2.4,0.36,0.21,18,75,31,3,2,66.7,0.27,0.18,0.33,0.50,18.1,0,0,0,1.0,1.0,0.33,0.0,0.0,616,727,84.7,10385,3734,3,1.4,1.2,+1.6,8,51,6,6,75,651,74,15,3,0,25,59,0,0,0,0,616,22,18,11,7,4,24,62.5,9,13,2,11,9,31,43,0,15,1.36,10,4,0,0,0,1,2,0.18,868,40,252,500,124,8,868,17,7,41.2,8,47.1,554,2004,967,18,14,0,18,14,587,31,2,0,0,21,15,0,25,9,18,0,0,0,46,24,12,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22.0,2003,12,12,1010,11.2,0,1,1,0,0,0,3,1,0.4,0.4,0.6,1.0,0.09,0.09,10,41,7,5,2,40.0,0.45,0.18,0.00,0.00,18.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,670,744,90.1,10923,3241,1,0.6,0.4,+0.4,4,35,3,1,41,704,37,18,3,2,2,8,0,0,0,0,670,10,6,2,5,3,5,60.0,2,7,3,4,14,24,26,1,12,1.07,8,0,0,1,1,2,3,0.27,828,64,322,464,47,8,828,6,5,83.3,1,16.7,558,2273,1156,10,4,0,9,6,636,7,3,1,0,8,9,0,2,14,6,0,0,1,46,17,12,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22.0,2003,12,12,912,10.1,4,2,6,4,0,0,4,0,2.6,2.6,1.8,4.4,0.59,0.44,12,37,34,24,8,33.3,2.37,0.79,0.17,0.50,17.3,0,0,0,2.6,2.6,0.11,+1.4,+1.4,270,335,80.6,4413,1075,2,1.8,1.2,+0.2,11,30,6,0,37,300,35,3,4,0,16,4,14,7,5,0,270,30,19,4,18,8,23,34.8,15,15,0,15,9,39,2,1,31,3.06,24,2,0,2,2,1,3,0.30,485,4,57,255,181,31,485,27,7,25.9,18,66.7,288,1249,529,12,22,7,36,13,302,34,4,0,0,15,12,2,16,9,19,0,0,0,44,8,7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26.0,1999,19,10,1037,11.5,6,0,6,5,1,1,0,0,4.2,3.4,1.0,4.4,0.43,0.45,14,25,63,25,11,44.0,2.17,0.95,0.20,0.45,12.1,0,1,1,4.2,3.4,0.14,+1.8,+1.6,138,179,77.1,2016,487,0,1.0,1.0,-1.0,12,14,5,0,25,167,12,0,2,1,1,0,0,0,0,0,138,10,7,0,8,2,6,50.0,3,4,3,1,3,13,5,0,23,2.00,16,0,0,2,4,1,4,0.35,309,7,21,143,149,47,308,21,6,28.6,11,52.4,198,920,324,14,10,5,40,20,246,63,0,0,0,17,27,1,1,3,7,1,0,0,16,19,28,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28.0,1997,13,3,390,4.3,3,1,4,3,0,0,0,0,2.5,2.5,1.1,3.6,0.92,0.83,5,5,22,10,5,50.0,2.31,1.15,0.30,0.60,9.1,0,0,0,2.5,2.5,0.25,+0.5,+0.5,60,85,70.6,693,90,1,1.1,0.4,-0.1,11,2,3,0,5,83,2,0,1,0,1,0,0,0,0,0,60,3,3,1,0,2,0,,0,3,0,3,1,4,3,0,15,3.46,14,0,0,1,0,0,1,0.23,137,3,9,54,74,29,137,4,2,50.0,1,25.0,69,227,76,5,1,2,17,11,118,22,0,0,0,11,6,4,1,1,3,0,0,0,5,15,8,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,16.0,2009,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.43,4,0,6,3,0,0.0,9.31,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,4,4,100.0,66,0,0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,2,50.0,1,1,0,1,0,2,0,0,2,6.21,0,0,0,0,2,0,1,3.10,19,0,1,4,14,8,19,7,1,14.3,5,71.4,13,169,71,4,1,3,1,2,12,6,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21.0,2004,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.03,0,0,4,1,1,100.0,1.17,1.17,0.00,0.00,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0,7,8,87.5,114,16,0,0.0,0.0,0.0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1.17,1,0,0,0,0,0,0,0.00,13,0,0,12,1,0,13,1,0,0.0,1,100.0,12,67,4,0,0,1,1,2,13,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23.0,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,1.19,0,0,0,1,0,0.0,15.00,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,2,7,28.6,29,22,0,0.0,0.0,0.0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,9,1,4,3,3,1,9,0,0,,0,,2,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16.0,2009,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,2,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,11,72.7,92,14,0,0.0,0.0,0.0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,13,0,2,8,3,0,13,1,0,0.0,1,100.0,7,57,44,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30.0,1995,16,16,1354,15.0,0,0,0,0,0,0,4,0,0.6,0.6,0.0,0.6,0.00,0.04,1,30,1,7,1,14.3,0.47,0.07,0.00,0.00,8.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,324,429,75.5,7073,2485,0,0.0,0.1,0.0,0,26,0,0,30,404,24,20,0,3,0,4,0,0,0,0,324,13,7,10,3,0,11,63.6,4,10,7,3,16,29,113,0,5,0.33,4,0,0,1,0,0,0,0.00,605,82,292,289,26,11,605,0,0,,0,,194,919,389,1,3,0,1,2,233,1,4,0,0,15,16,0,0,16,7,0,1,1,46,39,24,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36.0,1989,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,469,793,59.1,14917,11386,0,0.0,0.0,0.0,0,23,1,0,0,485,307,74,0,1,0,0,0,0,0,0,469,0,0,0,0,0,0,,0,0,0,0,0,0,10,1,2,0.10,1,1,0,0,0,0,0,0.00,853,679,844,10,0,0,853,0,0,,0,,426,2119,1171,0,0,0,1,0,337,0,0,0,0,0,1,0,0,0,0,0,0,0,20,16,4,80.0,41,1.95,113,75,68.1,3,4,14,3,14.3,5,5,0,0,40.1,0.32,+2.1,+0.10,147,454,32.4,559,92,45.6,35.7,378,14,3.7,13,0.62,10.0
655,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29.0,1996,11,9,719,8.0,1,0,1,1,0,0,1,0,1.5,1.5,1.0,2.4,0.13,0.30,13,17,66,9,3,33.3,1.13,0.38,0.11,0.33,11.8,0,0,0,1.5,1.5,0.16,-0.5,-0.5,208,282,73.8,3251,630,0,1.0,0.6,-1.0,9,6,6,1,17,236,46,2,0,1,22,44,0,0,0,0,208,8,6,7,1,0,8,50.0,4,3,0,3,4,12,12,0,15,1.88,9,2,1,2,1,0,0,0.00,354,10,56,136,164,34,354,11,3,27.3,7,63.6,178,697,339,13,7,5,12,2,219,66,1,0,0,12,6,1,22,4,6,0,1,0,21,15,14,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
